"","Country","City","Name","Link","Logo","Description","place","lon","lat"
"210","United States","Washington, D.C.","American Association of University Women (AAUW)","https://www.aauw.org/",NA,NA,"Washington, D.C., United States",-77.0368707,38.9071923
"211","United States","Glenside","Arcadia University","https://www.arcadia.edu/",NA,"research,on-campus engagement,education abroad,training and capacity builiding,virtual engagement,relation process automation trigger,Iacocca international internship program","Glenside, United States",-75.1527928,40.0999077
"212","United States","Boston","Boston University","https://www.bu.edu/",NA,NA,"Boston, United States",-71.0588801,42.3600825
"213","United States","Waltham","Brandeis University","https://www.brandeis.edu/",NA,NA,"Waltham, United States",-71.2356113,42.3764852
"214","United States","Indianapolis","Butler University","https://www.butler.edu/",NA,NA,"Indianapolis, United States",-86.158068,39.768403
"215","United States","Mexicali","CETYS University System","https://www.cetys.mx/en/mexicali-campus/",NA,NA,"Mexicali, United States",-95.712891,37.09024
"216","United States","New York City","City College of New York, City University of New York","https://www.ccny.cuny.edu/",NA,NA,"New York City, United States",-74.0059728,40.7127753
"217","United States","Chicago","DePaul University","https://www.depaul.edu/Pages/default.aspx",NA,NA,"Chicago, United States",-87.6297982,41.8781136
"218","United States",NA,"DeSales University","https://www.desales.edu/",NA,NA,"NA, United States",-95.712891,37.09024
"219","United States",NA,"Drew University","https://drew.edu/",NA,NA,"NA, United States",-95.712891,37.09024
"220","United States","Teaneck","Fairleigh Dickinson University","https://www.fdu.edu/",NA,NA,"Teaneck, United States",-74.0116536,40.8932469
"221","United States","Santa Barbara","Fielding Graduate University","https://www.fielding.edu/",NA,NA,"Santa Barbara, United States",-119.6981901,34.4208305
"222","United States","Fort Myers","Florida Golf Coast University","https://www.fgcu.edu/",NA,NA,"Fort Myers, United States",-81.8723084,26.640628
"223","United States","New York City","Fordham University","https://www.fordham.edu/",NA,NA,"New York City, United States",-74.0059728,40.7127753
"224","United States","Fairfax","George Mason University","https://www2.gmu.edu/",NA,NA,"Fairfax, United States",-77.3063733,38.8462236
"225","United States","Washington, D.C.","George Washington University Law School","https://www.law.gwu.edu/",NA,NA,"Washington, D.C., United States",-77.0368707,38.9071923
"226","United States","Santa Barbara","Graduate University",NA,NA,NA,"Santa Barbara, United States",-119.6981901,34.4208305
"227","United States","Ames","Iowa State University of Science and Technology","https://www.iastate.edu/",NA,NA,"Ames, United States",-93.6319131,42.0307812
"228","United States","Kent","Kent State University","https://www.kent.edu/",NA,NA,"Kent, United States",-122.234771,47.3830671
"229","United States","Milwaukee","Marquette University","https://www.marquette.edu/",NA,NA,"Milwaukee, United States",-87.9064736,43.0389025
"230","United States","Macon","Mercer University","https://www.mercer.edu/",NA,NA,"Macon, United States",-83.6324022,32.8406946
"231","United States","Millersville","Millersville University","https://www.millersville.edu/",NA,NA,"Millersville, United States",-76.3541274,39.9978764
"232","United States","Starkville","Mississippi State University","https://www.msstate.edu/",NA,NA,"Starkville, United States",-88.8183872,33.4503998
"233","United States","Monterey","Monmouth University","https://www.monmouth.edu/",NA,NA,"Monterey, United States",-121.8946761,36.6002378
"234","United States","New York City","New York University","https://www.nyu.edu/",NA,NA,"New York City, United States",-74.0059728,40.7127753
"235","United States","The Federal Capital Territory","Northeastern State University","https://academics.nsuok.edu/",NA,NA,"The Federal Capital Territory, United States",-95.712891,37.09024
"236","United States",NA,"Northeastern University","https://www.northeastern.edu/",NA,NA,"NA, United States",-95.712891,37.09024
"237","United States","Evanston","Northwestern University","https://www.northwestern.edu/",NA,NA,"Evanston, United States",-87.6876969,42.0450722
"238","United States",NA,"Northwood University Cerritos Campus","https://www.northwood.edu/",NA,NA,"NA, United States",-95.712891,37.09024
"239","United States","New York City","Pace University","https://www.pace.edu/",NA,NA,"New York City, United States",-74.0059728,40.7127753
"240","United States","University Park","Pennsylvania State University","https://www.psu.edu/",NA,NA,"University Park, United States",-77.8653126,40.8147955
"241","United States","Princeton","Princeton University","https://www.princeton.edu/",NA,NA,"Princeton, United States",-74.6672226,40.3572976
"242","United States","Houston","Rice University","https://www.rice.edu/",NA,NA,"Houston, United States",-95.3698028,29.7604267
"243","United States","New Brunswick","Rutgers, The State University of New Jersey","https://www.rutgers.edu/",NA,NA,"New Brunswick, United States",-74.4518188,40.4862157
"244","United States","Moffet Field","Singularity University",NA,NA,NA,"Moffet Field, United States",-122.0507824,37.4090755
"245","United States",NA,"St. Louis University",NA,NA,NA,"NA, United States",-95.712891,37.09024
"246","United States","Stanford","Stanford University",NA,NA,NA,"Stanford, United States",-122.169719,37.4274745
"247","United States","New Paltz","State University of New York at New Paltz",NA,NA,NA,"New Paltz, United States",-74.0868095,41.7475933
"248","United States","Syracuse","Syracuse University",NA,NA,NA,"Syracuse, United States",-76.1474244,43.0481221
"249","United States",NA,"Teachers College, Columbia University",NA,NA,NA,"NA, United States",-95.712891,37.09024
"250","United States","Philadelphia","Temple University",NA,NA,NA,"Philadelphia, United States",-75.1652215,39.9525839
"251","United States","Towson","Towson University",NA,NA,NA,"Towson, United States",-76.6019125,39.4014955
"252","United States","Merced","University of California, Merced",NA,NA,NA,"Merced, United States",-120.4829677,37.3021632
"253","United States","Edmond","University of Central Oklahoma",NA,NA,NA,"Edmond, United States",-97.4780954,35.6528323
"254","United States","West Hartford","University of Hartford",NA,NA,NA,"West Hartford, United States",-72.7420151,41.7620842
"255","United States","Lawrence","University of Kansas",NA,NA,NA,"Lawrence, United States",-95.2352501,38.9716689
"256","United States",NA,"University of Mary",NA,NA,NA,"NA, United States",-95.712891,37.09024
"257","United States",NA,"University of Minnesota",NA,NA,NA,"NA, United States",-95.712891,37.09024
"258","United States","Philadelphia","University of Pennsylvania",NA,NA,NA,"Philadelphia, United States",-75.1652215,39.9525839
"259","United States",NA,"University of San Francisco School of Management",NA,NA,NA,"NA, United States",-95.712891,37.09024
"260","United States","Seattle","University of Washington",NA,NA,NA,"Seattle, United States",-122.3320708,47.6062095
"261","United States","Madison","University of Wisconsin - Madison",NA,NA,NA,"Madison, United States",-89.4007501,43.0721661
"262","United States","Nashville","Vanderbilt University",NA,NA,NA,"Nashville, United States",-86.7816016,36.1626638
"263","United States","New Haven","Yale University",NA,NA,NA,"New Haven, United States",-72.9278835,41.308274
"264","Zimbabwe","Mutare","Africa University","https://www.africau.edu/",NA,"Joint research
Exchange of undergraduate and graduate students Faculty participation in seminars and academic meetings
Exchange of publications, academic materials 
Joint quality assurance and benchmarking","Mutare, Zimbabwe",32.6691331,-18.975755
"265",NA,NA,"Nagoya University",NA,NA,NA,"NA, NA",NA,NA
